participant_id,color,flipped,pre_last50,post_r1,post_first5,post_41_60,start_richness_gap
6931bc7a9286300ba24d7703,#2E7D5B,False,0.72,0.0,0.19999999999999996,0.4,0.17000000000000004
6931bc7a9286300ba24d7703,#2E7D5B,False,0.62,0.0,0.8,0.6,0.17000000000000004
6931bc7a9286300ba24d7703,#2E7D5B,False,0.56,0.0,0.4,0.7,0.17000000000000004
6931bc7a9286300ba24d7703,#2E7D5B,True,0.54,0.0,0.0,0.5,0.06999999999999995
6931bc7a9286300ba24d7703,#2E7D5B,False,0.46,1.0,1.0,0.6,0.06999999999999995
6931bc7a9286300ba24d7703,#2E7D5B,False,0.46,0.0,0.0,0.7,0.17000000000000004
6931bc7a9286300ba24d7703,#2E7D5B,False,0.64,0.0,0.4,0.6,0.17000000000000004
697aa4b8d2b6c1b3b9d7ae2c,#2E5C8A,False,0.52,1.0,1.0,0.6,0.06999999999999995
697aa4b8d2b6c1b3b9d7ae2c,#2E5C8A,False,0.52,0.0,0.0,0.09999999999999998,0.17000000000000004
697aa4b8d2b6c1b3b9d7ae2c,#2E5C8A,False,0.6,0.0,0.0,0.35,0.17000000000000004
697aa4b8d2b6c1b3b9d7ae2c,#2E5C8A,True,0.62,1.0,1.0,0.15000000000000002,0.17000000000000004
697aa4b8d2b6c1b3b9d7ae2c,#2E5C8A,False,0.38,1.0,1.0,0.2,0.06999999999999995
697aa4b8d2b6c1b3b9d7ae2c,#2E5C8A,False,0.42,0.0,0.0,0.15,0.17000000000000004
697aa4b8d2b6c1b3b9d7ae2c,#2E5C8A,False,0.8,1.0,1.0,1.0,0.06999999999999995
697aa4b8d2b6c1b3b9d7ae2c,#2E5C8A,True,0.42,0.0,0.0,0.0,0.06999999999999995
697aa4b8d2b6c1b3b9d7ae2c,#2E5C8A,False,0.38,0.0,0.0,1.0,0.17000000000000004
697aa4b8d2b6c1b3b9d7ae2c,#2E5C8A,False,0.86,0.0,0.0,1.0,0.17000000000000004
697aa4b8d2b6c1b3b9d7ae2c,#2E5C8A,False,0.4,1.0,1.0,0.8,0.06999999999999995
697aa4b8d2b6c1b3b9d7ae2c,#2E5C8A,True,0.4,0.0,0.0,0.0,0.06999999999999995
697aa4b8d2b6c1b3b9d7ae2c,#2E5C8A,False,0.62,1.0,1.0,0.55,0.06999999999999995
697aa4b8d2b6c1b3b9d7ae2c,#2E5C8A,False,0.76,1.0,1.0,0.6,0.06999999999999995
697aa4b8d2b6c1b3b9d7ae2c,#2E5C8A,False,0.66,0.0,0.0,0.55,0.17000000000000004
697aa4b8d2b6c1b3b9d7ae2c,#2E7D5B,False,0.22,1.0,1.0,0.1,0.06999999999999995
697aa4b8d2b6c1b3b9d7ae2c,#2E7D5B,False,0.46,0.0,0.0,0.6,0.17000000000000004
697aa4b8d2b6c1b3b9d7ae2c,#2E7D5B,False,0.48,0.0,0.0,0.35,0.17000000000000004
697aa4b8d2b6c1b3b9d7ae2c,#2E7D5B,True,0.68,1.0,1.0,0.0,0.17000000000000004
697aa4b8d2b6c1b3b9d7ae2c,#2E7D5B,False,0.84,0.0,0.0,0.55,0.17000000000000004
697aa4b8d2b6c1b3b9d7ae2c,#2E7D5B,False,0.36,1.0,1.0,0.35,0.06999999999999995
697aa4b8d2b6c1b3b9d7ae2c,#2E7D5B,False,0.76,1.0,1.0,0.35,0.06999999999999995
697aa4b8d2b6c1b3b9d7ae2c,#2E7D5B,True,0.94,1.0,1.0,0.0,0.17000000000000004
697aa4b8d2b6c1b3b9d7ae2c,#2E7D5B,False,1.0,1.0,1.0,0.05,0.06999999999999995
697aa4b8d2b6c1b3b9d7ae2c,#2E7D5B,False,0.58,1.0,1.0,0.25,0.06999999999999995
697aa4b8d2b6c1b3b9d7ae2c,#2E7D5B,False,0.68,0.0,0.0,0.55,0.17000000000000004
697aa4b8d2b6c1b3b9d7ae2c,#2E7D5B,True,0.32,1.0,1.0,0.0,0.17000000000000004
697aa4b8d2b6c1b3b9d7ae2c,#2E7D5B,False,0.42000000000000004,1.0,1.0,0.95,0.06999999999999995
697aa4b8d2b6c1b3b9d7ae2c,#2E7D5B,False,0.62,1.0,1.0,0.95,0.06999999999999995
697aa4b8d2b6c1b3b9d7ae2c,#2E7D5B,False,0.5800000000000001,1.0,1.0,0.4,0.06999999999999995
698078075d3326e1b30bd1c3,#2E5C8A,False,0.5,1.0,1.0,0.7,0.06999999999999995
698078075d3326e1b30bd1c3,#2E5C8A,False,0.54,0.0,0.0,1.0,0.17000000000000004
698078075d3326e1b30bd1c3,#2E5C8A,False,0.74,1.0,1.0,0.7,0.06999999999999995
698078075d3326e1b30bd1c3,#2E5C8A,True,0.64,0.0,0.0,0.3,0.06999999999999995
698078075d3326e1b30bd1c3,#2E5C8A,False,0.62,0.0,0.0,0.8,0.17000000000000004
698078075d3326e1b30bd1c3,#2E5C8A,False,0.43999999999999995,1.0,0.19999999999999996,0.15000000000000002,0.06999999999999995
698078075d3326e1b30bd1c3,#2E5C8A,False,0.5800000000000001,1.0,1.0,0.09999999999999998,0.06999999999999995
698078075d3326e1b30bd1c3,#2E5C8A,True,0.38,1.0,1.0,0.85,0.17000000000000004
698078075d3326e1b30bd1c3,#2E5C8A,False,0.7,0.0,0.2,0.55,0.17000000000000004
698078075d3326e1b30bd1c3,#2E5C8A,False,0.56,1.0,0.8,1.0,0.06999999999999995
